id	filename	md5	size	state
0163117a-2f64-4f00-b22e-d82254aaae0a	0163117a-2f64-4f00-b22e-d82254aaae0a/2761f674-9dbe-435c-b91c-70f854eeebfd.rna_seq.augmented_star_gene_counts.tsv	478736108c70cb756adbb45cde91bb4d	4234078	validated
0295ea9f-3c48-400e-8004-05ca911f460d	0295ea9f-3c48-400e-8004-05ca911f460d/31a7d787-3d81-4ee0-8995-1579c57bc29d.rna_seq.augmented_star_gene_counts.tsv	4050d0a430329119b5ab9f74c4ff6572	4223822	validated
0398eb84-be87-4906-9e22-cb94494b54f6	0398eb84-be87-4906-9e22-cb94494b54f6/85de0d7a-0624-4cd6-a33f-146b11b1b306.rna_seq.augmented_star_gene_counts.tsv	a16bc69ce8fd96b2f9bd09aa68990dc6	4242043	validated
06c46190-b2e2-4c28-9dd8-ec9df9b3faac	06c46190-b2e2-4c28-9dd8-ec9df9b3faac/a7d9074b-3fcc-4563-ba1b-d2fea419a167.rna_seq.augmented_star_gene_counts.tsv	99ea7fd381504bcfd8f390ff0f74894d	4237739	validated
07f3248f-4c22-441e-8b7e-18a77064d984	07f3248f-4c22-441e-8b7e-18a77064d984/0a669eee-5610-4b4d-af54-7fc85a0bab8f.rna_seq.augmented_star_gene_counts.tsv	4a9c29124c961237bd8d81c21ba94fd3	4230839	validated
09552102-8f10-4e2a-9710-f1585b6a7efb	09552102-8f10-4e2a-9710-f1585b6a7efb/4c6bcb4d-d212-4ecb-ae60-77da82be4449.rna_seq.augmented_star_gene_counts.tsv	f3c1075a34f4bd06a9c2a68835998ace	4242728	validated
0d725edc-1e72-4b71-8bfa-9d844f6447a5	0d725edc-1e72-4b71-8bfa-9d844f6447a5/8a4b8a40-3a46-44c6-ba41-1e75a74697e9.rna_seq.augmented_star_gene_counts.tsv	b6fc75ceb366a204068500f3557c70a0	4226139	validated
0f568886-7033-4eee-98b2-beaea3819bac	0f568886-7033-4eee-98b2-beaea3819bac/1c993a04-e313-45b3-8deb-7e1a7a6bfbf2.rna_seq.augmented_star_gene_counts.tsv	c7d63597d83cf7a8035cd2afaaa004ad	4234044	validated
0fe556bf-dcc8-4a8c-8b5e-b04d82e6211a	0fe556bf-dcc8-4a8c-8b5e-b04d82e6211a/b4920b6f-b84c-4fa3-81e9-87e1d67c804f.rna_seq.augmented_star_gene_counts.tsv	3da8e21d1041bce8f852cad32b4edafc	4232888	validated
15b120ca-b99c-43f9-b836-529583c50fe9	15b120ca-b99c-43f9-b836-529583c50fe9/155b4627-6a5a-4991-a58e-609c4fcbd5b9.rna_seq.augmented_star_gene_counts.tsv	82551e76d1e5e99eb22794cd00baef3c	4239242	validated
16115315-72cc-454c-93dd-ec6c6310a8f1	16115315-72cc-454c-93dd-ec6c6310a8f1/b09f858e-aa79-40a8-8546-de32adb89bbb.rna_seq.augmented_star_gene_counts.tsv	ffe3e2a6b0bc5dee124077758ddec984	4238458	validated
199b6329-f615-4a35-b19e-f398532c8ccd	199b6329-f615-4a35-b19e-f398532c8ccd/a604ff34-8b5c-4ab9-8634-948a39cacb46.rna_seq.augmented_star_gene_counts.tsv	a73cfce2c43ffcf7d14fe17d1a5c15e1	4222753	validated
1a487e51-fd6e-4228-80f7-d3f864cf45f2	1a487e51-fd6e-4228-80f7-d3f864cf45f2/6502ae6c-e389-430f-957a-7d25f6a41141.rna_seq.augmented_star_gene_counts.tsv	f43e69b0b8e1bab7cdfda5a98736e535	4222844	validated
1f715b37-49a7-4b68-8787-10c28dc71039	1f715b37-49a7-4b68-8787-10c28dc71039/fb07c4dc-76f8-4772-a9e0-f29afa67707e.rna_seq.augmented_star_gene_counts.tsv	7e289328ad8de47b227b2b444df20e40	4224075	validated
22ba6691-d4b9-4067-9acd-17cf251d89b7	22ba6691-d4b9-4067-9acd-17cf251d89b7/8ae968b8-8b1f-433a-8d92-5ea3413bd4be.rna_seq.augmented_star_gene_counts.tsv	b46730b5c4ebaed5923f2ea62300a664	4237066	validated
24bd3bd0-24c5-4db8-9e04-429c3c08015c	24bd3bd0-24c5-4db8-9e04-429c3c08015c/6e4be81a-7e2f-428a-aaf4-7a028494df2d.rna_seq.augmented_star_gene_counts.tsv	e53d755d0c202eacb8c58d5d2321afb4	4230387	validated
